Warehouse,Category,Sub-Cat,Brand,Product,productid,zoho_product_id,stockQuantity,stock_type,product_activity_type,product_age_category,Base Price,tax+cess %,Global_Active,WH_Active,Inventory Tracking,Unit weight,sku,first_sold_date,last_sold_date,stock sales value
Deliverit Ahmedabad,Beverages,Energy Drink,,Dejavu - Energy Drink Can - 250ml (Pack of 24),"7,818",2243027000659974477,140,Slow Moving,Not sold in last 45 days,,"1,032",40,TRUE,TRUE,Enabled,6,12256,24/9/2025,29/11/2025,"144,480"
Deliverit Ahmedabad,Rice & Rice Products,Boiled Rice,,Kala Chand - Kolam Boiled Rice - 30kg,"6,241",2243027000411726001,93,Slow Moving,Not sold in last 30 days,,"1,170",0,TRUE,TRUE,Enabled,30,11962,24/6/2025,13/1/2026,"108,810"
Deliverit Ahmedabad,Rice & Rice Products,Boiled Rice,Unbranded,M.K. Mogra Kanki Boiled Rice - Premium - 30kg,"5,515",2243027000292289127,46,Slow Moving,Not sold in last 15 days,,827,0,TRUE,TRUE,Enabled,30,10017,21/6/2025,2/2/2026,"38,042"
Deliverit Ahmedabad,Pulses,"Urad, Masoor & Malka Dal",Unbranded,Dhosa King White Urad Dal - 30kg (Medium),"6,234",2243027000411680028,9,Slow Moving,Not sold in last 45 days,,"2,899",0,FALSE,TRUE,Enabled,30,10120,6/8/2025,24/9/2025,"26,091"
Deliverit Ahmedabad,Oils & Fats,Mustard Oil,GOKUL,Gokul - Mustard Expeller Oil - 200ml Bottle (Pack of 60),"9,069",2243027000880239998,9,Never Sold,Never Sold,Old Product,"2,063",5,TRUE,TRUE,Enabled,12,10192,,,"18,567"
Deliverit Ahmedabad,Salt & Sugar,Sugars,Unbranded,Chalthan - White Crystal M-30 Grade Sugar - 50kg,"8,158",2243027000815648491,6,Slow Moving,Not sold in last 45 days,,"2,160",5,FALSE,TRUE,Enabled,50,10287,18/11/2025,7/12/2025,"12,960"
Deliverit Ahmedabad,Oils & Fats,Mustard Oil,GOKUL,Gokul - Mustard Expeller Oil - 1.7kg Jar (Pack of 8),"9,071",2243027000880271766,5,Slow Moving,Not sold in last 30 days,,"2,476",5,TRUE,TRUE,Enabled,13.6,10193,8/1/2026,8/1/2026,"12,380"
Deliverit Ahmedabad,Oils & Fats,Ghee,Amul & Sagar,Amul - Pure Ghee - 29ml Pouch (Pack of 240),"7,077",2243027000497104147,2,Never Sold,Never Sold,Old Product,"4,370",5,TRUE,TRUE,Enabled,6.96,10237,,,"8,740"
Deliverit Ahmedabad,Oils & Fats,Ghee,Amul & Sagar,Amul - Cow Ghee - 1ltr Tin (Pack of 12),"7,066",2243027000496691883,1,Never Sold,Never Sold,Old Product,"7,449",5,TRUE,TRUE,Enabled,12,10233,,,"7,449"
Deliverit Ahmedabad,Hair & Body Care,Hair Oil & Shampoo,,Nion Natural - Neem Hair Oil - 450ml,"7,390",2243027000537012231,30,Never Sold,Never Sold,Old Product,167,5,TRUE,TRUE,Enabled,0.45,12211,,,"5,010"
Deliverit Ahmedabad,Spices,"Chilli, Turmeric & Coriander Powder",RHB's Desi Zaika,RHB's Desi Zaika - Turmeric Powder - 500gm,"8,983",2243027000873872307,40,Never Sold,Never Sold,Old Product,120,5,TRUE,TRUE,Enabled,0.5,10327,,,"4,800"
Deliverit Ahmedabad,Cleaning & Laundry,Dishwash & Detergents ,,Nion Natural - Detergent Powder - 5kg,"7,393",2243027000536814580,12,Never Sold,Never Sold,Old Product,392,5,TRUE,TRUE,Enabled,5,12214,,,"4,704"
Deliverit Ahmedabad,Cleaning & Laundry,Dishwash & Detergents ,Nirma,Nirma - Super Detergent Powder - 1kg,"9,401",2243027000899738919,46,Slow Moving,Not sold in last 15 days,,97,18,TRUE,TRUE,Enabled,1,13033,28/1/2026,28/1/2026,"4,462"
Deliverit Ahmedabad,Hair & Body Care,Hair Oil & Shampoo,,Nion Natural - Amla Hair Oil - 450ml,"7,391",2243027000536894155,28,Slow Moving,Not sold in last 45 days,,140,5,TRUE,TRUE,Enabled,0.45,12212,1/1/2026,1/1/2026,"3,920"
Deliverit Ahmedabad,Hair & Body Care,Hair Oil & Shampoo,,Nion Natural - Dudhi Hair Oil - 450ml,"7,392",2243027000536758899,26,Slow Moving,Not sold in last 45 days,,140,5,TRUE,TRUE,Enabled,0.45,12213,6/9/2025,1/1/2026,"3,640"
Deliverit Ahmedabad,Hair & Body Care,Hair Oil & Shampoo,,Nion Natural - Shikakai Shampoo - 500ml,"7,386",2243027000537013107,30,Never Sold,Never Sold,Old Product,121,5,TRUE,TRUE,Enabled,0.5,12207,,,"3,630"
Deliverit Ahmedabad,Spices,"Chilli, Turmeric & Coriander Powder",RHB's Desi Zaika,RHB's Desi Zaika - Coriander Powder - 500gm,"8,984",2243027000873959389,40,Never Sold,Never Sold,Old Product,90,5,TRUE,TRUE,Enabled,0.5,10331,,,"3,600"
Deliverit Ahmedabad,Hair & Body Care,Body Care,,Nion Natural - Chandan TFM Soap - 125gm (Pack of 6),"7,388",2243027000537016163,20,Never Sold,Never Sold,Old Product,165,5,TRUE,TRUE,Enabled,0.75,12209,,,"3,300"
Deliverit Ahmedabad,Cleaning & Laundry,Dishwash & Detergents ,,Nion Natural - Detergent Cake - 200gm (Pack of 10),"7,395",2243027000536596934,29,Slow Moving,Not sold in last 15 days,,109,5,TRUE,TRUE,Enabled,2,12216,1/1/2026,2/2/2026,"3,161"
Deliverit Ahmedabad,Fruits & Vegetables,Indian Vegetables,,Cabbage Big - 1Pcs,"7,711",,100,Never Sold,Never Sold,Old Product,31,0,FALSE,TRUE,Enabled,1,12235,,,"3,100"
Deliverit Ahmedabad,Snacks & Munchies,Namkeen,Samrat,Samrat - Khatta Mitha Mix (Pack of 180) MRP-10,"6,834",2243027000479573984,2,Slow Moving,Not sold in last 45 days,,"1,490",5,TRUE,TRUE,Enabled,7.2,12146,16/9/2025,16/9/2025,"2,980"
Deliverit Ahmedabad,Snacks & Munchies,Namkeen,Samrat,Samrat - Sing Bhujia (Pack of 180) MRP-10,"6,837",2243027000479732734,2,Slow Moving,Not sold in last 45 days,,"1,490",5,TRUE,TRUE,Enabled,6.3,12149,16/9/2025,16/9/2025,"2,980"
Deliverit Ahmedabad,Cleaning & Laundry,Dishwash & Detergents ,Nirma,Nirma - Super Detergent Powder - 500gm,"9,400",2243027000899834370,59,Never Sold,Never Sold,Old Product,48,18,TRUE,TRUE,Enabled,0.5,13032,,,"2,832"
Deliverit Ahmedabad,Fruits & Vegetables,"Potato, Onion & Tomato",Fruits & Vegetables - Unbranded,Hybrid - Tomato (Mix Size) - 5kg,"7,909",2243027000734210061,10,Slow Moving,Not sold in last 45 days,,250,0,TRUE,FALSE,Enabled,5,12270,5/11/2025,2/12/2025,"2,500"
Deliverit Ahmedabad,Hair & Body Care,Body Care,,Nion Natural - Lemon TFM Soap - 125gm (Pack of 6),"7,389",2243027000536817755,15,Slow Moving,Not sold in last 45 days,,165,5,TRUE,TRUE,Enabled,0.75,12210,22/8/2025,22/8/2025,"2,475"
Deliverit Ahmedabad,Cleaning & Laundry,Dishwash & Detergents ,,Nion Natural - Detergent Cake - 150gm (Pack of 10),"7,394",2243027000537019054,26,Slow Moving,Not sold in last 45 days,,71,5,TRUE,TRUE,Enabled,1.5,12215,11/8/2025,1/1/2026,"1,846"
Deliverit Ahmedabad,Snacks & Munchies,Namkeen,Samrat,Samrat - Ganthia (Pack of 12) MRP-10,"8,321",2243027000827439469,16,Slow Moving,Not sold in last 15 days,,102,5,TRUE,TRUE,Enabled,240,12358,5/12/2025,2/2/2026,"1,632"
Deliverit Ahmedabad,Fruits & Vegetables,Indian Vegetables,Fruits & Vegetables - Unbranded,Green Peas (Fresh) - 1kg,"1,320",2243027000000138768,22,Slow Moving,Not sold in last 45 days,,62,0,TRUE,FALSE,Enabled,1,0695,29/11/2025,21/12/2025,"1,364"
Deliverit Ahmedabad,Fruits & Vegetables,Indian Vegetables,Fruits & Vegetables - Unbranded,Ginger (Mixed Size) - 1kg,"7,727",2243027000605042931,19,Slow Moving,Not sold in last 45 days,,70,0,TRUE,FALSE,Enabled,1,12250,4/9/2025,16/12/2025,"1,330"
Deliverit Ahmedabad,fmcg-food,Snacks and Munchies,Samrat,Samrat - Potato Chips Masala (Pack of 72) MRP-20,"6,847",2243027000479910375,1,Never Sold,Never Sold,Old Product,"1,190",5,TRUE,TRUE,Enabled,3.24,12159,,,"1,190"
Deliverit Ahmedabad,Fruits & Vegetables,"Potato, Onion & Tomato",Fruits & Vegetables - Unbranded,Desi - Tomato (Mixed Size/Ripeness) - 5kg,"7,933",2243027000749524276,4,Slow Moving,Not sold in last 45 days,,290,0,TRUE,FALSE,Enabled,5,12271,9/12/2025,16/12/2025,"1,160"
Deliverit Ahmedabad,Fruits & Vegetables,Indian Vegetables,Fruits & Vegetables - Unbranded,Chilli Pickadore - 1kg,"7,775",2243027000627572060,24,Slow Moving,Not sold in last 45 days,,47,0,TRUE,FALSE,Enabled,1,12252,14/11/2025,16/12/2025,"1,128"
Deliverit Ahmedabad,Fruits & Vegetables,Indian Vegetables,Fruits & Vegetables - Unbranded,Chilli G4 Spicy - 1kg,"7,724",2243027000605042884,20,Slow Moving,Not sold in last 45 days,,52,0,TRUE,FALSE,Enabled,1,12247,16/9/2025,16/12/2025,"1,040"
Deliverit Ahmedabad,Fruits & Vegetables,Indian Vegetables,Fruits & Vegetables - Unbranded,Green Chilli/Mirchi (Less Spicy) - 1kg,"6,351",2243027000421833797,19,Slow Moving,Not sold in last 45 days,,44,0,TRUE,FALSE,Enabled,1,2030,2/9/2025,18/12/2025,836
Deliverit Ahmedabad,Fruits & Vegetables,Indian Vegetables,Fruits & Vegetables - Unbranded,Cauliflower (Mixed Size) - 1kg Approx,"8,456",2243027000843210303,21,Slow Moving,Not sold in last 45 days,,39,0,TRUE,FALSE,Enabled,1,12276,10/12/2025,21/12/2025,819
Deliverit Ahmedabad,Fruits & Vegetables,Indian Vegetables,Fruits & Vegetables - Unbranded,English Cucumber / Kheera - 1kg,"7,722",2243027000606052071,20,Slow Moving,Not sold in last 45 days,,39,0,TRUE,FALSE,Enabled,1,12245,4/9/2025,23/12/2025,780
Deliverit Ahmedabad,Fruits & Vegetables,Indian Vegetables,Fruits & Vegetables - Unbranded,Green - Capsicum Mixed Size - 1kg,"1,332",2243027000000139645,14,Slow Moving,Not sold in last 45 days,,55,0,TRUE,FALSE,Enabled,1,821,4/9/2025,14/12/2025,770
Deliverit Ahmedabad,Fruits & Vegetables,Indian Vegetables,Fruits & Vegetables - Unbranded,Lemon/Nimbu (Mix Size) - 1kg,"6,432",2243027000427603416,15,Slow Moving,Not sold in last 45 days,,50,0,TRUE,FALSE,Enabled,1,2098,3/9/2025,23/12/2025,750
Deliverit Ahmedabad,Fruits & Vegetables,Indian Vegetables,Fruits & Vegetables - Unbranded,Cabbage Big - 1Pcs,"2,285",2243027000159025522,19,Slow Moving,Not sold in last 45 days,,30,0,TRUE,FALSE,Enabled,1.5,1394,5/9/2025,4/12/2025,570
Deliverit Ahmedabad,Fruits & Vegetables,Indian Vegetables,Fruits & Vegetables - Unbranded,Papdi/valod - 1kg,"8,457",2243027000843213749,12,Slow Moving,Not sold in last 45 days,,45,0,TRUE,FALSE,Enabled,1,12277,10/12/2025,13/12/2025,540
Deliverit Ahmedabad,Fruits & Vegetables,Indian Vegetables,Fruits & Vegetables - Unbranded,Sweet Potato - 1kg,"1,287",2243027000000139112,12,Slow Moving,Not sold in last 45 days,,44,0,TRUE,FALSE,Enabled,1,0747,10/12/2025,18/12/2025,528
Deliverit Ahmedabad,Fruits & Vegetables,Indian Vegetables,Fruits & Vegetables - Unbranded,Cabbage (Mixed Size) - 1kg Approx,"8,455",2243027000843295693,16,Slow Moving,Not sold in last 45 days,,28,0,TRUE,FALSE,Enabled,1,12275,9/12/2025,17/12/2025,448
Deliverit Ahmedabad,Fruits & Vegetables,Indian Vegetables,Fruits & Vegetables - Unbranded,Bitter Gourd/Karela - 1kg,"7,720",2243027000605242527,5,Slow Moving,Not sold in last 45 days,,88,0,TRUE,FALSE,Enabled,1,12243,5/9/2025,17/12/2025,440
Deliverit Ahmedabad,Beverages,Juices & Shakes,Tropicana,Tropicana - Apple Delight Fruit Drink Tetra - 180ml (Pack of 30),"7,366",2243027000532299874,1,Never Sold,Never Sold,Old Product,410,5,TRUE,TRUE,Enabled,5.4,11211,,,410
Deliverit Ahmedabad,Fruits & Vegetables,Indian Vegetables,,Cauliflower - 1Pcs,"7,725",2243027000606052126,6,Slow Moving,Not sold in last 45 days,,66,0,TRUE,FALSE,Enabled,1,12248,6/9/2025,16/9/2025,396
